"TARGET_GENE","GENE_DESCRIPTION","KEGG","BIOCARTA","PID","REACTOME","VALIDATION","DIANA","MIRANDA","MIRBRIDGE","PICTAR","PITA","RNA22","TARGETSCAN","TOTAL_HIT"
"SFRP2","secreted frizzled-related protein 2","1","0","0","0","","V","V","","","V","","","3"
"SH3KBP1","SH3-domain kinase binding protein 1","1","1","2","3","","V","V","","","V","","","3"
"SHOX2","short stature homeobox 2","0","0","0","0","","V","V","","","V","","","3"
"SIX4","SIX homeobox 4","0","0","0","0","","V","V","","","V","","","3"
"SLC25A3","solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3","0","0","1","0","","V","V","","","V","","","3"
"SMAP1","small ArfGAP 1","1","0","0","0","","V","V","","","V","","","3"
"SMARCD1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1","0","0","1","0","","V","V","","","V","","","3"
"SMG5","SMG5 nonsense mediated mRNA decay factor","0","0","2","5","","V","V","","","V","","","3"
"SNIP1","Smad nuclear interacting protein 1","0","0","1","0","","V","V","","","V","","","3"
"SOX11","SRY (sex determining region Y)-box 11","0","0","0","0","","V","V","","","V","","","3"
"SOX30","SRY (sex determining region Y)-box 30","0","0","0","0","","V","V","","","V","","","3"
"SOX5","SRY (sex determining region Y)-box 5","0","0","0","0","","V","V","","","V","","","3"
"SPIN1","spindlin 1","0","0","0","0","","V","V","","","V","","","3"
"SPTBN1","spectrin, beta, non-erythrocytic 1","0","0","1","7","","V","V","","","V","","","3"
"SPTBN4","spectrin, beta, non-erythrocytic 4","0","0","0","5","","V","V","","","V","","","3"
"TNFRSF11B","tumor necrosis factor receptor superfamily, member 11b","1","0","0","0","","V","V","","","V","","","3"
"TPH2","tryptophan hydroxylase 2","2","0","0","4","","V","V","","","V","","","3"
"TRIM33","tripartite motif containing 33","0","0","0","0","","V","V","","","V","","","3"
"TSHZ1","teashirt zinc finger homeobox 1","0","0","0","0","","V","V","","","V","","","3"
"UBE2E3","ubiquitin-conjugating enzyme E2E 3","2","0","0","4","","V","V","","","V","","","3"
"UBR3","ubiquitin protein ligase E3 component n-recognin 3 (putative)","0","0","0","0","","V","V","","","V","","","3"
"USP54","ubiquitin specific peptidase 54","0","0","0","0","","V","V","","","V","","","3"
"VDAC3","voltage-dependent anion channel 3","3","0","0","0","","V","V","","","V","","","3"
"WBP2","WW domain binding protein 2","0","0","0","0","","V","V","","","V","","","3"
"WDR47","WD repeat domain 47","0","0","0","0","","V","V","","","V","","","3"
"YTHDF2","YTH domain family, member 2","0","0","0","0","","V","V","","","V","","","3"
"YY1","YY1 transcription factor","0","0","6","0","","V","V","","","V","","","3"
"ZBTB2","zinc finger and BTB domain containing 2","0","0","0","0","","V","V","","","V","","","3"
"ZFHX3","zinc finger homeobox 3","0","0","0","0","","V","V","","","V","","","3"
